,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),holidays,HVM2,HVNM,HVEM,CentralPP,EEBuilding,MSBuilding,LSBuilding,MEBuilding,LGLibrary,StartupB,KumhoHall,CoolingPump123,CoolingPump456,MarriedAptE,Dorm9,AdvancedLight,MSBuildingE,EEBuildingE,LSBuildingE,MEBuildingE,LGLibraryE,CentralPPE,AdvancedLightE,HVNM1,HVNM2,HighVoltageCapacitor,RenewableEnergyBuilding,CollegeB,CollegeDormA,StudentUnion2,ScholarPP,FacultyApt,CollegeC,CentralResearchEquipmentCenter,CollegeA,DasanBuilding,IndustryCollabResearchBuilding,RenewableEnergyBuildingE,CollegeBE,CollegeDormAE,ScholarPPE,StudentUnion2E,FacultyAptE,CollegeCE,CentralResearchEquipmentCenterE,CollegeAE,DasanBuildingE,IndustryCollabResearchBuildingE,SV2,SV5,SV6
0,0,25.6,0.0,2.2,180,99,1006.1,0.0,0.0,25.0,0,1475.1,1843.4,422.9,147.8,419.0,408.8,497.6,129.3,262.2,19.3,49.7,0.0,0.0,322.7,63.0,829.0,35.2,123.1,102.9,17.9,40.3,82.2,63.1,0.0,2250.6,697.7,970.7,248.6,150.8,68.4,67.4,71.7,199.8,313.0,28.4,573.3,0.0,100.6,37.7,43.8,55.9,23.9,27.0,14.9,47.4,14.7,54.2,18.1,2942.0,2262.65,736.05
1,1,25.1,0.0,1.4,200,99,1006.1,0.0,0.0,24.8,0,1473.6,1797.2,414.7,147.8,424.5,397.2,442.3,123.5,245.5,19.8,49.5,0.0,0.0,296.4,56.9,824.8,34.3,117.4,102.2,8.1,38.9,73.6,61.7,0.0,2125.5,681.9,925.1,211.2,141.0,64.4,70.7,61.8,191.0,300.5,26.6,570.5,0.0,101.0,27.3,53.6,43.4,26.6,30.3,14.7,46.0,14.6,45.7,18.0,2894.4,2177.55,736.05
2,2,25.0,0.0,1.8,180,99,1005.8,0.0,0.0,24.4,0,1440.0,1752.0,397.4,135.9,409.9,388.8,445.9,121.5,271.0,19.3,48.5,0.0,0.0,274.2,51.7,846.2,29.1,112.5,104.5,7.7,36.5,83.6,61.2,0.0,2125.3,688.6,902.0,216.9,110.3,62.3,63.8,57.8,194.0,319.7,32.7,514.0,0.0,88.8,25.7,39.8,42.4,33.6,30.3,15.1,45.2,14.3,43.0,18.0,2830.1000000000004,2157.45,716.7
3,3,24.9,0.0,1.6,200,99,1006.0,0.0,0.0,24.2,0,1369.8,1752.1,400.8,142.2,403.0,380.6,506.2,112.3,231.5,19.9,49.2,0.0,0.0,236.6,40.1,828.1,33.2,110.6,104.1,6.9,34.9,68.9,60.8,0.0,2061.6,0.0,885.1,219.4,115.7,65.9,62.6,54.7,194.1,323.6,24.7,517.6,0.0,81.7,25.7,40.4,62.5,37.0,21.2,15.0,44.8,15.0,35.6,19.6,2766.55,2123.9,686.1
4,4,24.5,0.0,0.4,0,99,1006.2,0.0,0.0,24.0,0,1344.8,1708.2,392.7,146.8,407.8,388.0,431.9,113.9,230.2,19.8,48.9,0.0,0.0,232.8,39.8,765.3,32.6,110.7,102.6,16.0,39.4,66.5,62.3,0.0,2031.1,674.3,882.5,222.0,94.6,69.8,67.8,49.2,188.9,316.5,23.6,517.6,0.0,79.0,24.2,27.4,37.9,22.4,24.8,28.8,46.0,13.0,33.8,18.1,2734.8,2077.1000000000004,671.3
5,5,24.4,0.0,1.0,50,99,1006.5,0.0,0.0,24.0,0,1322.1,1678.1,390.9,114.0,406.0,391.3,422.7,113.0,234.4,21.9,49.0,0.0,0.0,220.9,38.2,777.9,29.5,110.7,103.6,13.5,42.4,57.3,64.1,0.0,2004.3,700.9,857.3,202.3,102.6,121.3,75.5,50.4,195.2,295.6,28.0,506.5,0.0,92.8,25.2,24.4,29.3,27.9,25.3,9.4,48.9,14.3,33.1,18.1,2683.7,2052.3999999999996,664.1
6,6,24.0,0.0,0.9,90,99,1006.7,0.1,0.1,24.0,0,1346.6,1730.4,431.4,111.4,416.3,394.4,473.1,121.4,271.4,21.4,53.3,0.0,0.0,247.3,39.1,807.7,35.1,118.2,111.6,6.6,34.9,82.5,71.8,0.0,2152.7,742.0,875.8,242.5,110.3,189.0,78.0,60.8,187.0,315.0,52.2,523.3,0.0,95.7,36.2,21.6,26.7,33.9,26.3,13.7,48.9,17.8,43.2,19.9,2816.2,2161.8500000000004,675.3
7,7,25.1,0.0,0.9,70,99,1006.8,1.0,0.59,24.5,0,1342.1,1908.4,539.8,117.3,436.9,407.5,502.7,143.0,265.2,25.6,56.6,0.0,0.0,270.8,47.9,780.8,35.1,121.8,133.0,7.3,59.8,137.1,79.0,0.0,2372.8,745.1,984.7,277.1,109.1,196.9,85.6,69.0,196.9,282.9,76.3,573.2,14.6,95.9,29.8,21.4,24.1,33.2,33.2,30.1,46.6,19.3,44.3,25.3,3042.45,2392.55,671.95
8,8,27.3,0.0,2.5,200,88,1006.8,1.0,1.29,27.4,0,1898.7,2162.7,673.1,129.0,476.5,456.7,544.3,232.0,309.6,52.4,71.3,226.5,110.5,309.8,65.8,891.2,42.4,142.2,175.5,18.9,69.8,176.7,102.2,0.0,2625.9,727.5,1094.0,331.9,111.0,234.3,98.1,75.5,209.9,254.7,108.6,613.0,54.4,125.0,44.7,36.6,28.6,37.4,43.5,30.1,64.4,30.6,61.6,29.9,3620.95,2720.05,949.7
9,9,28.4,0.0,3.3,180,83,1006.9,1.0,1.96,32.0,0,1955.0,2301.4,714.8,125.2,508.3,510.9,665.3,245.0,350.1,48.7,72.7,205.3,104.0,317.7,70.0,1002.5,51.1,152.0,195.0,19.5,79.0,176.7,113.2,0.0,2695.5,730.6,1188.7,350.6,125.3,242.0,79.0,68.1,226.5,289.4,108.3,654.1,57.5,127.2,50.9,48.7,40.7,38.8,35.9,32.0,63.4,31.1,69.6,23.5,3745.0,2820.1,976.15
10,10,29.8,0.0,1.9,160,74,1006.8,1.0,2.75,36.0,0,1955.0,2370.6,722.5,111.5,514.9,538.3,632.3,263.2,341.7,57.1,81.1,205.3,103.6,284.0,69.9,1031.4,51.5,153.2,202.8,20.5,77.7,166.8,110.5,0.0,2733.4,762.8,1212.5,369.7,113.9,229.9,92.1,63.6,230.7,268.0,126.7,668.5,85.3,140.7,48.3,35.8,51.8,44.4,28.9,24.9,68.3,31.8,81.9,22.9,3819.45,2898.3500000000004,973.65
