Unnamed: 0,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),holidays
1440,0,23.1,0.0,0.8,230.0,99,1001.2,0.0,0.0,25.1,0.0
1441,1,23.1,0.1,0.9,270.0,99,1001.2,0.0,0.0,25.0,0.0
1442,2,23.1,0.1,0.5,290.0,99,1001.0,0.0,0.0,24.9,0.0
1443,3,22.9,0.1,0.0,0.0,99,1000.8,0.0,0.0,24.7,0.0
1444,4,22.7,0.1,0.1,0.0,99,1000.9,0.0,0.0,24.7,0.0
1445,5,22.5,0.4,1.5,70.0,99,1000.9,0.0,0.0,24.6,0.0
1446,6,22.5,0.0,1.1,50.0,99,1001.1,0.0,0.0,24.5,0.0
1447,7,22.4,0.2,1.5,70.0,99,1001.3,0.0,0.08,24.7,0.0
1448,8,22.5,0.1,1.5,50.0,99,1001.4,0.0,0.18,25.0,0.0
1449,9,22.9,0.2,0.7,50.0,99,1001.5,0.0,0.26,25.9,0.0
1450,10,23.3,0.0,1.1,70.0,99,1001.5,0.0,0.5,27.1,0.0
1451,11,23.0,0.0,0.0,0.0,99,1001.9,0.0,0.36,25.9,0.0
1452,12,22.8,0.0,1.0,340.0,99,1001.6,0.0,0.24,26.0,0.0
1453,13,22.5,0.2,0.5,290.0,99,1001.2,0.0,0.46,26.3,0.0
1454,14,23.0,0.0,0.3,0.0,99,1001.2,0.0,0.51,26.8,0.0
1455,15,22.9,0.3,0.5,320.0,99,1000.9,0.0,0.46,26.7,0.0
1456,16,22.7,1.0,1.1,290.0,99,1001.0,0.0,0.44,25.9,0.0
1457,17,21.6,7.4,1.0,270.0,99,1001.4,0.0,0.25,24.5,0.0
1458,18,20.1,2.9,1.2,290.0,99,1001.9,0.0,0.16,23.6,0.0
1459,19,19.9,0.8,0.2,0.0,99,1002.0,0.0,0.08,23.0,0.0
1460,20,20.1,0.0,1.1,90.0,99,1001.7,0.0,0.06,22.9,0.0
1461,21,20.6,0.0,0.9,50.0,99,1002.1,0.0,0.0,23.1,0.0
1462,22,20.5,0.1,0.2,0.0,99,1002.2,0.0,0.0,22.8,0.0
1463,23,20.8,0.0,0.0,0.0,99,1002.5,0.0,0.0,23.0,0.0
1464,0,20.4,0.0,0.7,250.0,99,1002.6,0.0,0.0,22.4,0.0
1465,1,20.3,0.0,0.4,0.0,99,1002.6,0.0,0.0,22.4,0.0
1466,2,20.1,0.0,0.2,0.0,99,1002.1,0.0,0.0,21.8,0.0
1467,3,20.2,0.0,0.0,0.0,99,1002.0,0.0,0.0,22.0,0.0
1468,4,20.5,0.0,0.6,320.0,99,1002.0,0.0,0.0,22.3,0.0
1469,5,20.4,0.0,0.1,0.0,99,1002.2,0.0,0.0,22.4,0.0
1470,6,20.4,0.0,0.4,0.0,99,1002.5,0.0,0.0,22.4,0.0
1471,7,20.8,0.0,0.4,0.0,99,1002.6,0.0,0.21,23.5,0.0
1472,8,21.7,0.0,0.0,0.0,99,1003.1,0.2,0.5,24.5,0.0
1473,9,22.0,0.1,1.1,50.0,99,1003.3,0.0,0.66,26.2,0.0
1474,10,24.1,0.0,1.2,70.0,97,1003.3,0.7,1.98,32.2,0.0
1475,11,25.5,0.0,1.2,50.0,85,1003.3,0.8,2.26,34.1,0.0
1476,12,25.8,0.0,1.2,70.0,85,1002.8,0.8,2.42,34.7,0.0
1477,13,26.4,0.0,1.6,50.0,78,1002.4,0.6,2.46,34.0,0.0
1478,14,27.3,0.0,1.2,50.0,71,1001.9,0.9,3.17,36.0,0.0
1479,15,28.3,0.0,1.2,20.0,67,1001.5,0.9,2.82,36.0,0.0
1480,16,28.2,0.0,1.5,20.0,69,1001.3,1.0,2.4,32.4,0.0
1481,17,27.6,0.0,1.2,360.0,76,1001.6,1.0,1.64,29.2,0.0
1482,18,27.3,0.0,0.8,360.0,77,1001.4,1.0,0.97,27.1,0.0
1483,19,25.2,0.0,0.7,20.0,88,1001.7,0.4,0.24,25.7,0.0
1484,20,24.0,0.0,0.6,50.0,96,1002.4,0.0,0.05,24.6,0.0
1485,21,22.9,0.0,1.9,70.0,97,1002.7,0.0,0.0,23.6,0.0
1486,22,22.5,0.0,2.0,70.0,99,1003.0,0.0,0.0,23.0,0.0
1487,23,22.8,0.0,1.2,70.0,99,1002.9,0.0,0.0,22.7,0.0
