瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2022-07-01 00:00,25.6,,2.2,180,99,1006.1,,,25
156,堡林,2022-07-01 01:00,25.1,,1.4,200,99,1006.1,,,24.8
156,堡林,2022-07-01 02:00,25,,1.8,180,99,1005.8,,,24.4
156,堡林,2022-07-01 03:00,24.9,,1.6,200,99,1006,,,24.2
156,堡林,2022-07-01 04:00,24.5,,.4,0,99,1006.2,,,24
156,堡林,2022-07-01 05:00,24.4,,1,50,99,1006.5,,,24
156,堡林,2022-07-01 06:00,24,,.9,90,99,1006.7,.1,.1,24
156,堡林,2022-07-01 07:00,25.1,,.9,70,99,1006.8,1,.59,24.5
156,堡林,2022-07-01 08:00,27.3,,2.5,200,88,1006.8,1,1.29,27.4
156,堡林,2022-07-01 09:00,28.4,,3.3,180,83,1006.9,1,1.96,32
156,堡林,2022-07-01 10:00,29.8,,1.9,160,74,1006.8,1,2.75,36
156,堡林,2022-07-01 11:00,30.1,,1.5,180,70,1007,.9,2.62,35.1
156,堡林,2022-07-01 12:00,30.6,,3.6,230,68,1007,.6,2.08,36.1
156,堡林,2022-07-01 13:00,31,,3.1,230,64,1006.9,.7,2.73,36.3
156,堡林,2022-07-01 14:00,31.2,,3,200,64,1006.6,.7,2.57,36.1
156,堡林,2022-07-01 15:00,32.5,,2.6,200,63,1006.2,.9,2.76,38.9
156,堡林,2022-07-01 16:00,32.4,,2.6,180,58,1005.7,.9,2.43,37.9
156,堡林,2022-07-01 17:00,32.3,,3.3,200,57,1005.5,.9,1.98,35
156,堡林,2022-07-01 18:00,31.7,,3,200,54,1005.5,1,1.44,31.6
156,堡林,2022-07-01 19:00,30.3,,2.8,200,61,1005.3,.6,.73,29
156,堡林,2022-07-01 20:00,28.9,,3.1,180,62,1005.6,.4,.15,26.8
156,堡林,2022-07-01 21:00,27.4,,1.4,230,67,1005.9,,,25.7
156,堡林,2022-07-01 22:00,27.1,,1.5,200,73,1006.3,,,25
156,堡林,2022-07-01 23:00,26.8,,.5,200,76,1006.6,,,24.5
156,堡林,2022-07-02 00:00,25.9,,.1,0,79,1006.7,,,24
156,堡林,2022-07-02 01:00,25.2,,.7,180,85,1006.7,,,23.7
156,堡林,2022-07-02 02:00,24.6,,.4,0,87,1006.6,,,23.3
156,堡林,2022-07-02 03:00,23.8,,.4,0,94,1006.3,,,23
156,堡林,2022-07-02 04:00,23.2,,1,110,97,1006.5,,,22.9
156,堡林,2022-07-02 05:00,23.2,,.9,90,97,1006.4,,,22.7
156,堡林,2022-07-02 06:00,23.4,,.7,70,97,1006.2,.1,.11,22.8
156,堡林,2022-07-02 07:00,23.8,,.1,0,97,1006.3,1,.66,23.8
156,堡林,2022-07-02 08:00,26.3,,.4,0,85,1006.2,1,1.24,26.8
156,堡林,2022-07-02 09:00,28.3,,.4,0,74,1005.9,1,2.01,31.5
156,堡林,2022-07-02 10:00,30.6,,.4,0,67,1005.8,1,2.69,37.1
156,堡林,2022-07-02 11:00,31.9,,.9,200,58,1005.7,1,3.14,39.4
156,堡林,2022-07-02 12:00,32,,.7,250,57,1005.3,1,3.23,42.7
156,堡林,2022-07-02 13:00,33,,.8,230,54,1004.4,1,3.4,47.8
156,堡林,2022-07-02 14:00,33.5,,1.6,20,53,1003.6,.7,2.5,44.5
156,堡林,2022-07-02 15:00,33.5,,1.2,50,53,1003,.6,1.88,39.8
156,堡林,2022-07-02 16:00,34.2,,.9,20,53,1002.3,.6,1.63,39.2
156,堡林,2022-07-02 17:00,34.5,,.9,140,48,1002,.9,1.56,37.6
156,堡林,2022-07-02 18:00,32,,1.2,270,66,1001.9,.7,.89,33.1
156,堡林,2022-07-02 19:00,30.6,,1.1,320,74,1002.3,.3,.47,31.4
156,堡林,2022-07-02 20:00,29.1,,1.3,250,80,1002.3,.2,.13,29.1
156,堡林,2022-07-02 21:00,28.3,,1.7,250,85,1002.8,,,27.8
156,堡林,2022-07-02 22:00,27.8,,.8,270,87,1003.1,,,27.2
156,堡林,2022-07-02 23:00,27.4,,1.1,250,85,1003.2,,,26.6
156,堡林,2022-07-03 00:00,26.8,,1.5,230,87,1003.3,,,26.6
156,堡林,2022-07-03 01:00,26.7,,.3,0,88,1003.5,,,26.4
156,堡林,2022-07-03 02:00,26.3,,.5,290,89,1003.3,,,25.9
156,堡林,2022-07-03 03:00,26.2,,.3,0,90,1002.8,,,25.3
156,堡林,2022-07-03 04:00,25.6,,.8,50,96,1002.8,,,25.2
156,堡林,2022-07-03 05:00,25.6,,.6,70,92,1002.4,,,25
156,堡林,2022-07-03 06:00,25.2,,.1,0,94,1002.3,0,.09,24.9
156,堡林,2022-07-03 07:00,25.7,,.7,50,90,1002.2,.3,.35,25.8
156,堡林,2022-07-03 08:00,27.3,,1,70,80,1002.2,1,1.17,28.8
156,堡林,2022-07-03 09:00,28.6,,.7,70,67,1002,1,1.65,32.7
156,堡林,2022-07-03 10:00,30.3,,.5,20,62,1001.7,1,2.16,37.1
156,堡林,2022-07-03 11:00,32.1,,1.4,200,57,1001.4,1,2.98,44.2
156,堡林,2022-07-03 12:00,31.4,,1.3,180,63,1000.9,.2,1.77,38.5
156,堡林,2022-07-03 13:00,32.1,,1.3,140,67,1000.4,.3,2,39.2
156,堡林,2022-07-03 14:00,32,,2.2,180,59,1000,0,1.41,39.5
156,堡林,2022-07-03 15:00,33.1,,2.3,230,58,999.5,.4,1.83,42.7
156,堡林,2022-07-03 16:00,32.3,,2.6,180,59,999.3,.8,2.18,38.2
156,堡林,2022-07-03 17:00,32.7,,1.7,180,58,999,.3,.95,37.2
156,堡林,2022-07-03 18:00,30.8,0,2.6,200,66,999.1,.3,.47,31
156,堡林,2022-07-03 19:00,30.1,,2.8,200,69,999.3,0,.3,30.8
