,AirTempC,RainfallMm,WindSpeedMs,WindDirection,HumidityPercent,PressureHpa,SunshineHours,SolarRadiationMJm2,GroundTempC,HorizontalSurfaceTemp,OutdoorTemp,InclinedSurfaceTemp,ModuleTemp,SoccerField,StudentCenter,CentralWarehouse,AcademicBuilding,DasanBuilding,FacilitiesManagement,CollegeC,AnimalLab,MainLibrary,LGLibrary,RenewableEnergy,SamsungEnvBuilding,CentralResearchEquip,IndustryCollab,DormB
0,25.2,0.0,0.2,0.0,99,1000.5,0.0,0.0,24.6,0.0,25.3,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25.0,0.0,0.0,0.0,99,1000.0,0.0,0.0,24.1,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,24.9,0.0,0.8,180.0,99,999.5,0.0,0.0,24.5,0.0,25.2,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24.8,0.0,0.1,0.0,99,999.2,0.0,0.0,24.4,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,24.9,0.0,0.0,0.0,99,998.8,0.0,0.0,24.7,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,24.7,0.0,0.0,0.0,99,998.9,0.0,0.0,24.6,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24.5,0.0,0.6,70.0,99,998.5,0.0,0.08,24.7,18.0,25.2,15.0,24.1,0.0,0.3,0.0,0.0,-0.1,-0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.5
7,24.8,0.0,0.0,0.0,99,998.7,0.0,0.18,25.4,139.0,27.2,120.0,25.6,13.3,4.6,2.8,2.6,3.3,10.7,1.7,4.2,3.1,4.1,7.5,6.1,11.1,11.3,4.9
8,25.9,0.0,1.6,70.0,99,998.7,0.5,0.95,28.4,397.0,28.9,307.0,29.7,34.4,12.9,9.6,5.7,7.7,28.0,3.4,9.9,7.3,9.3,17.0,15.3,25.8,28.4,12.9
9,27.4,0.0,0.4,0.0,97,998.9,0.3,1.33,30.9,616.0,41.1,510.0,40.8,59.1,18.2,12.9,6.4,13.7,43.7,3.8,16.3,9.6,12.7,22.7,25.6,45.6,46.1,11.7
10,27.7,0.0,1.0,250.0,95,998.8,0.3,1.37,31.2,355.0,38.2,316.0,38.4,32.9,10.8,7.2,8.3,8.9,26.1,3.7,8.3,8.0,11.0,18.1,15.1,30.1,37.0,20.8
11,28.5,0.0,2.2,200.0,91,998.7,0.1,1.67,34.3,174.0,36.3,165.0,36.8,26.3,5.8,4.0,5.1,6.8,14.6,2.9,8.7,5.2,7.4,13.5,11.4,21.7,23.1,9.4
12,29.1,0.0,1.5,180.0,89,998.6,0.1,1.7,34.7,467.0,42.9,446.0,47.4,54.8,15.8,10.1,9.5,14.1,42.2,5.4,15.0,11.6,15.6,25.6,22.5,42.1,41.1,16.9
13,31.3,0.0,0.9,200.0,78,997.8,0.8,2.97,41.0,851.0,48.1,770.0,53.9,72.2,20.2,16.7,14.1,17.7,60.7,8.2,19.7,16.3,26.7,35.5,29.9,59.0,54.3,22.5
14,30.7,0.0,1.5,200.0,76,997.2,0.5,2.37,37.8,326.0,40.3,332.0,42.1,44.6,11.6,7.0,5.6,10.4,32.1,3.6,11.8,7.9,10.6,17.8,17.2,29.8,32.3,11.6
15,30.0,0.0,2.0,230.0,82,996.8,0.3,1.66,34.7,290.0,40.1,284.0,43.1,34.9,10.1,6.1,4.8,8.1,27.1,3.2,9.3,6.9,9.2,15.3,13.9,24.7,25.6,9.8
16,30.2,0.0,2.1,200.0,84,996.8,0.0,1.0,33.8,140.0,35.0,160.0,35.4,22.1,5.3,3.0,2.0,4.8,15.0,1.7,5.7,3.5,4.5,8.1,7.8,13.4,15.4,5.0
17,29.5,0.0,3.1,200.0,88,996.6,0.1,0.93,32.2,115.0,34.0,126.0,33.8,14.6,4.1,2.3,2.2,4.1,11.3,1.7,5.4,3.1,3.8,7.5,6.7,12.1,14.4,5.3
18,28.4,0.0,2.9,250.0,92,996.6,0.2,0.74,30.8,122.0,33.4,116.0,32.9,11.3,4.1,2.4,2.2,3.2,10.1,1.6,4.0,3.0,4.0,7.1,5.9,10.9,11.2,4.6
19,27.4,0.0,2.2,270.0,97,996.6,0.0,0.39,29.0,55.0,30.7,52.0,29.9,3.6,1.6,0.7,0.7,1.2,3.5,0.8,1.9,1.3,1.6,3.3,2.5,4.5,5.2,2.1
20,26.8,0.0,0.7,230.0,99,996.5,0.0,0.13,27.3,0.0,27.6,0.0,25.8,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
